post_id;pf_post_id;post_date;account_id;pf_account_id;chunk_id;document_id;document_text;lemmatized_text;sentences;post_url;sentiment;topic;label;x;y;proba;screen_name;description;followers;followings;user_posts;post_engagements;post_reactions;post_comments;post_shares;post_views;post_quotes;citations;repartages;sentiment_score
9711146;1826911698575384841;2024-08-23 09:17:45;3038985;917421961;3027668;12034234;"What is AI's real carbon footprint? You won't find it in the sustainability reports of tech giants. That's because they claim it's mostly or entirely powered by renewables.

@ntashawhite &amp; I dug deeper to find reality to be otherwise. Thanks to use of dodgy credits.";ai real carbon footprint find sustainability report tech giant claim entirely power renewable @ntashawhite dig deeply find reality thank use dodgy credit;What is AI's real carbon footprint? You won't find it in the sustainability reports of tech giants. That's because they claim it's mostly or entirely powered by renewables. @ntashawhite & I dug deeper to find reality to be otherwise. Thanks to use of dodgy credits.;https://twitter.com/i/web/status/1826911698575384841;neutral;71;AI;3,3174777030944824;0,579871654510498;1,0;peters_glen;"Energy, emissions, & climate @CICERO_klima

Projects @V_ERIFY_H2020, @4C_H2020, @ParisReinforce, @CoCO2_project, @iam_compact, @climatediamond, @EuPathfinder";47633;538;34841;763;527;9;227;0;0;0;0;0.0
9711237;1916519742874984674;2025-04-27 15:48:08;3039652;904408999;3027754;12034404;"Does science disagree with you?
Are you sick of facts?
Does knowledge make you dizzy?
Does learning give you headaches?
Do you ache all over from the truth?
Are you allergic to education?

Take new MAGA-strength Denialenol™.  Approved by the FDA - Federal Denial Agency";science disagree sick fact knowledge dizzy learn headache ache truth allergic education new maga strength denialenol approve fda federal denial agency;Does science disagree with you? Are you sick of facts? Does knowledge make you dizzy? Does learning give you headaches? Do you ache all over from the truth? Are you allergic to education? Take new MAGA-strength Denialenol™. Approved by the FDA - Federal Denial Agency;https://twitter.com/i/web/status/1916519742874984674;very negative;56;AI;0,9498319625854492;-0,16426372528076172;0,8783537745475769;geraldkutney;"Author: ""Climate Denial in American Politics: #ClimateBrawl;"" ""Carbon Politics and the Failure of the Kyoto Protocol;"" columnist @NatObserver; Fellow @RCGS_SGRC";69706;29342;207810;25;15;3;7;355;1;0;0;-1.0
9711434;1816037792914313374;2024-07-24 09:08:44;3038985;917421961;3027906;12034714;That is quite the increase in Liquefied Natural Gas (LNG) exports from the US, 2019 to 2023!;increase liquefied natural gas lng export;That is quite the increase in Liquefied Natural Gas (LNG) exports from the US, 2019 to 2023!;https://twitter.com/i/web/status/1816037792914313374;very positive;71;AI;3,572387218475342;0,6866869926452637;0,9416641592979431;peters_glen;"Energy, emissions, & climate @CICERO_klima

Projects @V_ERIFY_H2020, @4C_H2020, @ParisReinforce, @CoCO2_project, @iam_compact, @climatediamond, @EuPathfinder";47633;538;34841;42;24;3;15;4991;2;0;0;1.0
9711542;1815681851303879152;2024-07-23 09:34:21;3038985;917421961;3027768;12034427;"🚨New Paper🚨""Science-based targets miss the mark"" by Andy Reisinger, Annette Cowie, @Oliver_Geden &amp; me @Nature - @CommsEarth #OpenAccess

In this perspective, we challenge the equity &amp; ambition claims of science-based targets 🧵

 

1/20";"🚨 new paper 🚨 ""science base target miss mark andy reisinger annette cowie @oliver_geden @nature @commsearth openaccess perspective challenge equity ambition claim science base target";"🚨New Paper🚨""Science-based targets miss the mark"" by Andy Reisinger, Annette Cowie, @Oliver_Geden & me @Nature - @CommsEarth #OpenAccess In this perspective, we challenge the equity & ambition claims of science-based targets 🧵 1/20";https://twitter.com/i/web/status/1815681851303879152;neutral;56;AI;0,9464054107666016;-0,3364434242248535;0,5898840427398682;peters_glen;"Energy, emissions, & climate @CICERO_klima

Projects @V_ERIFY_H2020, @4C_H2020, @ParisReinforce, @CoCO2_project, @iam_compact, @climatediamond, @EuPathfinder";47633;538;34841;150;99;8;43;0;0;0;0;0.0
9711744;1800837039316738098;2024-06-12 10:26:22;3038985;917421961;3029205;12035408;"Noting, most of the change seems to be coming from household demand due to increased cooling.

The big race: AI versus AC";note change come household demand increased cooling big race ai ac;Noting, most of the change seems to be coming from household demand due to increased cooling. The big race: AI versus AC;https://twitter.com/i/web/status/1800837039316738098;positive;71;AI;3,424684524536133;0,5853180885314941;1,0;peters_glen;"Energy, emissions, & climate @CICERO_klima

Projects @V_ERIFY_H2020, @4C_H2020, @ParisReinforce, @CoCO2_project, @iam_compact, @climatediamond, @EuPathfinder";47633;538;34841;5;5;0;0;1116;1;0;0;0.5
9711747;1800836642615468133;2024-06-12 10:24:48;3038985;917421961;3029241;12035476;"Commercial electricity demand has been revised up in the US due to data centers (AI presumably).

Does this mean we expect to see a similar upward revision in GDP due to productivity increase, or is AI just a overblown waste of resources? 😲";commercial electricity demand revise data center ai presumably mean expect similar upward revision gdp productivity increase ai overblown waste resource;Commercial electricity demand has been revised up in the US due to data centers (AI presumably). Does this mean we expect to see a similar upward revision in GDP due to productivity increase, or is AI just a overblown waste of resources? 😲;https://twitter.com/i/web/status/1800836642615468133;very positive;71;AI;3,362245559692383;0,5915365219116211;1,0;peters_glen;"Energy, emissions, & climate @CICERO_klima

Projects @V_ERIFY_H2020, @4C_H2020, @ParisReinforce, @CoCO2_project, @iam_compact, @climatediamond, @EuPathfinder";47633;538;34841;14;9;3;2;1684;0;0;0;1.0
9711824;1829501379481653570;2024-08-30 12:48:14;3039761;344395626;3029170;12035318;Brief overview on some of our timing of emergence work with explainable AI in the latest @NOAA GFDL bulletin:  (open access paper: );brief overview timing emergence work explainable ai late @noaa gfdl bulletin open access paper;Brief overview on some of our timing of emergence work with explainable AI in the latest @NOAA GFDL bulletin: (open access paper: );https://twitter.com/i/web/status/1829501379481653570;very positive;56;AI;0,8621597290039062;-0,42302608489990234;0,6925404667854309;zlabe;"Climate Scientist (Atmospheric) | PhD | Views, thoughts, and opinions expressed are only my own

----- now posting on Bluesky -----";62464;1068;28087;7;6;0;1;1864;0;0;0;1.0
9711826;1916169767892746627;2025-04-26 16:37:28;3039652;904408999;3029300;12035619;"That isn't proof of anything other than proof you're paid to lie.
But you are showing everyone you never took a physics or science class, there are no proofs.";proof proof pay lie show take physics science class proof;That isn't proof of anything other than proof you're paid to lie. But you are showing everyone you never took a physics or science class, there are no proofs.;https://twitter.com/i/web/status/1916169767892746627;positive;56;AI;0,7193965911865234;-0,1604747772216797;0,8511061072349548;geraldkutney;"Author: ""Climate Denial in American Politics: #ClimateBrawl;"" ""Carbon Politics and the Failure of the Kyoto Protocol;"" columnist @NatObserver; Fellow @RCGS_SGRC";69706;29342;207810;7;3;1;3;0;0;0;0;0.5
9711913;1896628126329024696;2025-03-03 18:25:57;3039082;2187906247;3029344;12035728;"Then, yes, it is a question of funding. Universities and funding bodies rapidly need to find ways to tangibly support scientists spending a large fraction of their time engaging with the wider world--and the answer can't continue to be ""Well, what about nights and weekends?"" [12]";question funding university fund body rapidly need find way tangibly support scientist spend large fraction time engage wide world answer continue night weekend;"Then, yes, it is a question of funding. Universities and funding bodies rapidly need to find ways to tangibly support scientists spending a large fraction of their time engaging with the wider world--and the answer can't continue to be ""Well, what about nights and weekends?""";https://twitter.com/i/web/status/1896628126329024696;very negative;56;AI;1,0731630325317383;-0,3617267608642578;0,5155004858970642;weather_west;Climate scientist-communicator focused on extreme events like floods, droughts, & wildfires on a warming planet.;102505;2963;41264;106;96;1;9;0;0;0;0;-1.0
9712004;1843383545588514903;2024-10-07 20:11:00;3039078;34317032;3029249;12035489;"Well-argued and important article, starting from the premise that a scientist is not a “brain in a jar” devoid of emotions and values.

@ChristelvanEck @L_messling @KHayhoe 
""striving for value-free science is both unattainable and undesirable""";argue important article start premise scientist brain jar devoid emotion value @l_messle @khayhoe strive value free science unattainable undesirable;"Well-argued and important article, starting from the premise that a scientist is not a “brain in a jar” devoid of emotions and values. @ChristelvanEck @L_messling @KHayhoe ""striving for value-free science is both unattainable and undesirable""";https://twitter.com/i/web/status/1843383545588514903;very positive;56;AI;0,872342586517334;-0,23434734344482422;1,0;khayhoe;Climate Scientist, Prof @TexasTech, Chief Scientist @nature_org. Join me on Bluesky @katharinehayhoe.com. Tweets 100% my own 🇨🇦🍁;222061;4626;68682;35;21;2;12;0;0;0;0;1.0
9712031;1839096771651506182;2024-09-26 00:16:53;3039078;34317032;3029376;12035807;"""Science is simply our attempt to understand the mind of God and the laws of physics that govern the world we live in. Faith is not in competition with science; they are two complementary aspects of our understanding. As Hebrews 11:1 defines faith, and as the Psalms declare, 'The";science simply attempt understand mind god law physic govern world live faith competition science complementary aspect understanding hebrews define faith psalms declare;"""Science is simply our attempt to understand the mind of God and the laws of physics that govern the world we live in. Faith is not in competition with science; they are two complementary aspects of our understanding. As Hebrews 11:1 defines faith, and as the Psalms declare, 'The";https://twitter.com/i/web/status/1839096771651506182;very positive;56;AI;0,9912962913513184;-0,26959705352783203;0,8262465000152588;khayhoe;Climate Scientist, Prof @TexasTech, Chief Scientist @nature_org. Join me on Bluesky @katharinehayhoe.com. Tweets 100% my own 🇨🇦🍁;222061;4626;68682;55;46;1;8;0;0;0;0;1.0
9712071;1896616798952296823;2025-03-03 17:40:56;3039082;2187906247;3029435;12035954;"Strong &amp; clear statement by @ametsoc: ""Recent terminations within the government workforce for science are likely to cause irreparable harm &amp; have far-reaching consequences for public safety, economic well-being, &amp; the United States' global leadership.""";strong clear statement @ametsoc recent termination government workforce science likely cause irreparable harm far reach consequence public safety economic united states global leadership;"Strong & clear statement by @ametsoc: ""Recent terminations within the government workforce for science are likely to cause irreparable harm & have far-reaching consequences for public safety, economic well-being, & the United States' global leadership.""";https://twitter.com/i/web/status/1896616798952296823;very negative;56;AI;1,0047664642333984;-0,19028663635253906;0,8783537745475769;weather_west;Climate scientist-communicator focused on extreme events like floods, droughts, & wildfires on a warming planet.;102505;2963;41264;275;186;17;72;10659;4;0;0;-1.0
9712181;1915856812529615094;2025-04-25 19:53:53;3039652;904408999;3029454;12036003;I'm a bit surprised that the Democratically-led citations are low overall, but not surprised that fascists dislike peer-reviewed science research. These are extremely old people, maybe younger people reference science publications with a larger delta between Democracy and fascism;bit surprised democratically lead citation low overall surprised fascist dislike peer review science research extremely old people maybe young people reference science publication large delta democracy fascism;I'm a bit surprised that the Democratically-led citations are low overall, but not surprised that fascists dislike peer-reviewed science research. These are extremely old people, maybe younger people reference science publications with a larger delta between Democracy and fascism;https://twitter.com/i/web/status/1915856812529615094;very negative;56;AI;0,8979654312133789;-0,07201337814331055;0,4754903316497803;geraldkutney;"Author: ""Climate Denial in American Politics: #ClimateBrawl;"" ""Carbon Politics and the Failure of the Kyoto Protocol;"" columnist @NatObserver; Fellow @RCGS_SGRC";69706;29342;207810;2;1;0;1;0;0;0;0;-1.0
9712306;1819317599693324556;2024-08-02 10:21:31;3039761;344395626;3029695;12036581;Publishers’ revenue from #OpenAccess fees tripled in 5 years. Some researchers lacking funds may be shut out of author-pays #ScientificPublishing. Is there a better way? #AcademicTwitter;publisher revenue openaccess fee triple year researcher lack fund shut author pay scientificpublishing well way academictwitter;Publishers’ revenue from #OpenAccess fees tripled in 5 years. Some researchers lacking funds may be shut out of author-pays #ScientificPublishing. Is there a better way? #AcademicTwitter;https://twitter.com/i/web/status/1819317599693324556;positive;56;AI;0,780522346496582;-0,3879079818725586;0,5785610675811768;zlabe;"Climate Scientist (Atmospheric) | PhD | Views, thoughts, and opinions expressed are only my own

----- now posting on Bluesky -----";62464;1068;28087;33;20;2;11;0;0;0;0;0.5
9712484;1850900657206710667;2024-10-28 14:01:19;3039145;96723712;3047343;12036976;Veri merkezlerinin enerji ihtiyacını karşılayabilmek için Amazon küçük boyutlu nükleer santrallerin geliştirilmesini destekliyor.;amazon support development small sized nuclear power plant meet energy need datum center;Amazon supports the development of small-sized nuclear power plants to meet the energy needs of data centers.;https://twitter.com/i/web/status/1850900657206710667;neutral;71;AI;3,522780418395996;0,5211420059204102;1,0;leventkurnaz;"Bogazici İklim Değişikliği Merkezi / Bogazici Center for Climate Change Studies
İklim Bilimci / Climate Scientist";48593;414;25383;0;0;0;0;623;0;0;0;0.0
9712486;1850899708073439663;2024-10-28 13:57:33;3039145;96723712;3029881;12036984;Amazon joins push for nuclear power to meet data center demand;amazon join push nuclear power meet datum center demand;Amazon joins push for nuclear power to meet data center demand;https://twitter.com/i/web/status/1850899708073439663;neutral;71;AI;3,5275344848632812;0,5618762969970703;1,0;leventkurnaz;"Bogazici İklim Değişikliği Merkezi / Bogazici Center for Climate Change Studies
İklim Bilimci / Climate Scientist";48593;414;25383;0;0;0;0;548;0;0;0;0.0
9712549;1915438965621952536;2025-04-24 16:13:31;3039652;904408999;3029782;12036777;You don’t have a clue how science is funded. By definition no one gets research funding to prove a predetermined outcome.;clue science fund definition get research funding prove predetermined outcome;You don’t have a clue how science is funded. By definition no one gets research funding to prove a predetermined outcome.;https://twitter.com/i/web/status/1915438965621952536;neutral;56;AI;1,0043840408325195;-0,30609703063964844;0,5719941854476929;geraldkutney;"Author: ""Climate Denial in American Politics: #ClimateBrawl;"" ""Carbon Politics and the Failure of the Kyoto Protocol;"" columnist @NatObserver; Fellow @RCGS_SGRC";69706;29342;207810;9;5;3;1;0;0;0;0;0.0
9712559;1915434320493240512;2025-04-24 15:55:03;3039652;904408999;3029932;12037094;Indeed. And Lance has still not explained the scientific basis behind preferring these papers rather than the overwhelming majority. We know he is politically and economically predisposed to preferring them, but what’s his scientific reason?;lance explain scientific basis prefer paper overwhelming majority know politically economically predisposed prefer scientific reason;Indeed. And Lance has still not explained the scientific basis behind preferring these papers rather than the overwhelming majority. We know he is politically and economically predisposed to preferring them, but what’s his scientific reason?;https://twitter.com/i/web/status/1915434320493240512;very positive;56;AI;0,7617740631103516;-0,30861520767211914;0,7491358518600464;geraldkutney;"Author: ""Climate Denial in American Politics: #ClimateBrawl;"" ""Carbon Politics and the Failure of the Kyoto Protocol;"" columnist @NatObserver; Fellow @RCGS_SGRC";69706;29342;207810;4;1;0;3;0;0;0;0;1.0
9712815;1843883340732236219;2024-10-09 05:17:00;3039145;96723712;3039285;12037449;"Ülkemizde hala ""bu bizim alanımız sana ne bu alandan"" diyen çok sayıda ""bilim insanı"" var. Bugün bir moleküler biyolog ve bir bilişsel psikologa fizik alanında Nobel ödülü verildi. Konu da makine öğrenmesinine yaptıkları katkılardan dolayı. Artık kimse bana bu benim konum demesin";country numerous science people say area today molecular biologist cognitive psychologist award nobel prize physic topic contribution machine learning tell location;"In our country there are still numerous ""science people"" that says ""What is this area."" Today, a molecular biologist and a cognitive psychologist was awarded Nobel Prize in physics. The topic is due to the contributions they do to machine learning. Nobody tells me my location";https://twitter.com/i/web/status/1843883340732236219;positive;56;AI;0,8474874496459961;-0,48931026458740234;0,47296348214149475;leventkurnaz;"Bogazici İklim Değişikliği Merkezi / Bogazici Center for Climate Change Studies
İklim Bilimci / Climate Scientist";48593;414;25383;36;33;0;3;2287;1;0;0;0.5
9712959;1915067150630350970;2025-04-23 15:36:03;3039652;904408999;3030165;12037686;"Debate in science happens via the peer review process. It doesn’t happen on social media, or on TV panel shows. 

Would you “debate” the Big Bang Theory, Relativity, or Quantum Mechanics on a TV panel show?";debate science happen peer review process happen social medium tv panel show debate big bang theory relativity quantum mechanics tv panel;Debate in science happens via the peer review process. It doesn’t happen on social media, or on TV panel shows. Would you “debate” the Big Bang Theory, Relativity, or Quantum Mechanics on a TV panel show?;https://twitter.com/i/web/status/1915067150630350970;neutral;56;AI;0,8304386138916016;-0,28059959411621094;1,0;geraldkutney;"Author: ""Climate Denial in American Politics: #ClimateBrawl;"" ""Carbon Politics and the Failure of the Kyoto Protocol;"" columnist @NatObserver; Fellow @RCGS_SGRC";69706;29342;207810;8;5;1;2;0;0;0;0;0.0
9713055;1892979613011214351;2025-02-21 16:48:04;3038836;253998571;3039335;12038221;"Mein heutiger Kurzclip handelt von der Rolle der Medien in der seit Jahrzehnten andauernden ""Klimaskeptiker""-Debatte - die völlig losgelöst von irgendwelchen wissenschaftlichen Fachdiskussionen abläuft, und zu einer schlecht informierten Öffentlichkeit führt. 1/2";current short clip deal role medium climaskeptiker debate last decade completely detach scientific discussion lead poorly inform public;"My current short clip deals with the role of media in the ""Climaskeptiker"" debate that has lasted for decades - which is completely detached from any scientific discussions and leads to a poorly informed public. 1/2";https://twitter.com/i/web/status/1892979613011214351;positive;56;AI;0,8434476852416992;-0,36533069610595703;0,7329747080802917;rahmstorf;Professor of Physics of the Oceans & Head of Earth System Analysis at the Potsdam Institute for Climate Impact Research. Public speaker. Dad. Opinions my own!;158484;283;20282;495;338;11;146;9673;3;0;0;0.5
9713076;1890521568717005022;2025-02-14 22:00:40;3039082;2187906247;3030352;12038064;All of this this is in addition to massive cuts to scientific research that have been mandated in recent days. It's hard to see this as anything other than an intentional decimation of critical public safety services, and also of science in general, in the U.S.;addition massive cut scientific research mandate recent day hard intentional decimation critical public safety service science general u.s.;All of this this is in addition to massive cuts to scientific research that have been mandated in recent days. It's hard to see this as anything other than an intentional decimation of critical public safety services, and also of science in general, in the U.S.;https://twitter.com/i/web/status/1890521568717005022;very positive;56;AI;1,039724349975586;-0,12414741516113281;0,49740710854530334;weather_west;Climate scientist-communicator focused on extreme events like floods, droughts, & wildfires on a warming planet.;102505;2963;41264;209;175;6;28;8612;2;0;0;1.0
9713111;1837431606975377628;2024-09-21 10:00:07;3039145;96723712;3039339;12038238;"""İklim değişikliğiyle mücadelede sadece bilim ve teknoloji yeterli değil""";science technology fight change;"""The science and technology is not enough in the fight against change""";https://twitter.com/i/web/status/1837431606975377628;positive;56;AI;1,0197324752807617;-0,2664833068847656;0,8039878606796265;leventkurnaz;"Bogazici İklim Değişikliği Merkezi / Bogazici Center for Climate Change Studies
İklim Bilimci / Climate Scientist";48593;414;25383;13;8;0;5;894;0;0;0;0.5
9713292;1807865803620114684;2024-07-01 19:56:10;3039078;34317032;3030548;12038402;"🌞JULY BOOK PICK: By examining all sides of the issue from facts to personal biases, laying out the science in an easy to follow manner, &amp; encouraging readers to find shared values w/ people of varying viewpoints @KHayhoe  crafts a “case for hope and healing in a divided world.”";🌞 july book pick examine side issue fact personal bias lay science easy follow manner encourage reader find shared value w/ people vary viewpoint @khayhoe craft case hope healing divided world;🌞JULY BOOK PICK: By examining all sides of the issue from facts to personal biases, laying out the science in an easy to follow manner, & encouraging readers to find shared values w/ people of varying viewpoints @KHayhoe crafts a “case for hope and healing in a divided world.”;https://twitter.com/i/web/status/1807865803620114684;positive;56;AI;0,7168359756469727;-0,46820497512817383;0,4905616044998169;khayhoe;Climate Scientist, Prof @TexasTech, Chief Scientist @nature_org. Join me on Bluesky @katharinehayhoe.com. Tweets 100% my own 🇨🇦🍁;222061;4626;68682;23;15;0;8;0;0;0;0;0.5
9713329;1766016049021923531;2024-03-08 08:20:11;3038985;917421961;3030838;12038852;"Timeless quote: ""It was not rocket science, nor did it require fancy models""

Yes, so many questions can be answered with simple models, but if you don't use a model so complex that no one understands than no one believe you (ironically).";timeless quote rocket science require fancy model question answer simple model use model complex understand believe ironically;"Timeless quote: ""It was not rocket science, nor did it require fancy models"" Yes, so many questions can be answered with simple models, but if you don't use a model so complex that no one understands than no one believe you (ironically).";https://twitter.com/i/web/status/1766016049021923531;very positive;56;AI;0,6462001800537109;-0,4351625442504883;0,4843471050262451;peters_glen;"Energy, emissions, & climate @CICERO_klima

Projects @V_ERIFY_H2020, @4C_H2020, @ParisReinforce, @CoCO2_project, @iam_compact, @climatediamond, @EuPathfinder";47633;538;34841;17;11;2;4;4838;0;0;0;1.0
